,product,productname,productprice,productreview,sentiments
0,product1,latest trending stylish imported T Shirt For Mens,Rs. 777,5052 Ratings20000,neutral
1,product1,latest trending stylish imported T Shirt For Mens,Rs. 777,such a bad staff,neutral
2,product1,latest trending stylish imported T Shirt For Mens,Rs. 777,thanks for the review Follow our store for more updates on upcoming products,neutral
3,product5,Full Sleeves T shirt for men,Rs. 410,4658 Ratings61100,neutral
4,product5,Full Sleeves T shirt for men,Rs. 410,its really mazing shirt I really liked it thank u draz,neutral
5,product5,Full Sleeves T shirt for men,Rs. 410,It was the most bad decision by me to order this shirt,neutral
6,product5,Full Sleeves T shirt for men,Rs. 410,The Fabric are not Goodbut shirt is nice,positive
7,product5,Full Sleeves T shirt for men,Rs. 410,but loose h change ho skti h kia,neutral
8,product5,Full Sleeves T shirt for men,Rs. 410,Galt size bhja hy,neutral
9,product13,Karhai style full sleeves  T shirt for men & young boys,Rs. 700,4554 Ratings30100,neutral
10,product13,Karhai style full sleeves  T shirt for men & young boys,Rs. 700,good summer jursey,neutral
11,product13,Karhai style full sleeves  T shirt for men & young boys,Rs. 700,its a best quality,neutral
12,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,5054 Ratings40000,neutral
13,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,nice stuff thank u I will shop again,neutral
14,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,Thank You So Much For Appreciation Keep Shopping From Us,neutral
15,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,nice  design  and colour,neutral
16,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,Thank You So Much For Appreciation Keep Shopping From Us,neutral
17,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,excellent tshirt ,neutral
18,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,very well,positive
19,product64,Full Sleeves Printed T shirt for mens,Rs. 400,5051 Ratings10000,neutral
20,product64,Full Sleeves Printed T shirt for mens,Rs. 400,loved the material and the color actually looks better in person,neutral
21,product64,Full Sleeves Printed T shirt for mens,Rs. 400,thank you so much your feedback valuable for us,neutral
22,product65,New Sleeves Strip Style T-Shirt For Men,Rs. 599,5051 Ratings10000,neutral
23,product65,New Sleeves Strip Style T-Shirt For Men,Rs. 599,Awesome product and good quality as shown in pic Highly recommended by my side,neutral
24,product65,New Sleeves Strip Style T-Shirt For Men,Rs. 599,Thanks we are Hoping you will Shopping Again to Our Shop,neutral
25,product66,Men's High Neck Slim Fit Long Sleeve Mock Turtle Neck T Shirt Turtleneck Top,Rs. 399,5051 Ratings10000,neutral
26,product66,Men's High Neck Slim Fit Long Sleeve Mock Turtle Neck T Shirt Turtleneck Top,Rs. 399,nice tshirt,neutral
27,product67,Winter Hoodie Export Quality For Men And Women,Rs. 549,4353 Ratings20100,neutral
28,product67,Winter Hoodie Export Quality For Men And Women,Rs. 549,lovely l like  it,neutral
29,product68,Full Sleeves T shirt for men,Rs. 410,5053 Ratings30000,neutral
30,product68,Full Sleeves T shirt for men,Rs. 410,same as shown in the picture although some threads are sticking out but overall the quality i good,positive
31,product68,Full Sleeves T shirt for men,Rs. 410,thank you so much your feedback valuable for us,neutral
32,product68,Full Sleeves T shirt for men,Rs. 410,good experience but size ka issue hai,neutral
33,product68,Full Sleeves T shirt for men,Rs. 410,not good,positive
34,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,3957 Ratings50002,neutral
35,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,fraudShirt Tear hoe ha,neutral
36,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,2number shirt hai same nahi,neutral
37,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,nice tshirt,neutral
38,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,4554 Ratings30100,neutral
39,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,sir ya tshart ai hai pic m jo hai ya wo to nahe hai ap isko change karrain jo pic may hai wo bahjayn,neutral
40,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,I buy XL size but darar give large size not too good not too bed,neutral
41,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,ok fine quality but not satisfied,positive
42,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,“We are so grateful for your kind words Thanks for sharing your review with us and the community”Please Follow Our Store ,neutral
43,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,good,positive
44,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,“We are so grateful for your kind words Thanks for sharing your review with us and the community” Please Follow Our Store ,neutral
45,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,3655 Ratings30011,neutral
46,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,not satisfiedAvg product Avg stitching with threads comming outnot worth 440 spentcan be used as under shirt only,neutral
47,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,Nice T shirt and best quality and good stuff delivery time amazing  thank you soo much daraz,neutral
48,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,This is the best product in Daraz,neutral
49,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,“We are so grateful for your kind words Thanks for sharing your review with us and the community”Please Follow Our Store ,neutral
50,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,half sleeve shirt mili ha mujha,neutral
51,product72,High Quality Branded T-Shirts For Formal and office use with quality fabric & Stitching in Elegant Designs For Men,Rs. 799,1051 Ratings00001,neutral
52,product72,High Quality Branded T-Shirts For Formal and office use with quality fabric & Stitching in Elegant Designs For Men,Rs. 799,opposite to ordernot even 1 match very bad experience i wasted my money never order from u guys,neutral
